Good,Medium,Low,Min
98052.0,98112.0,98177,98019.0
98119.0,98115.0,98178,98058.0
98122.0,98118.0,98116,98155.0
98001.0,98055.0,98053,98028.0
98003.0,98059.0,98117,98092.0
98004.0,98027.0,98056,98188.0
98005.0,98125.0,98065,98072.0
98006.0,98030.0,98136,98038.0
98007.0,98126.0,98075,98199.0
98008.0,98002.0,98077,98168.0
98148.0,98133.0,98144,98070.0
98032.0,98039.0,98146,98198.0
98102.0,98074.0,98022,98011.0
98103.0,98107.0,98023,98010.0
98105.0,98106.0,98024,98014.0
98108.0,,98029,
98109.0,,98031,
,,98033,
,,98034,
,,98166,
,,98040,
,,98042,
,,98045,
