City Center,Inner Outskirts,Outer Outskirts,Rural Areas
98112.0,98177,98052.0,98019.0
98144.0,98178,98053.0,98022.0
98115.0,98055,98058.0,98024.0
98119.0,98056,98001.0,98045.0
98122.0,98059,98002.0,98065.0
98102.0,98188,98003.0,98198.0
98103.0,98199,98070.0,98010.0
98105.0,98106,98072.0,98077.0
98109.0,98107,98074.0,98014.0
,98108,98075.0,
,98116,98011.0,
,98117,98023.0,
,98118,98027.0,
,98125,98092.0,
,98126,98028.0,
,98040,98029.0,
,98004,98030.0,
,98005,98031.0,
,98006,98038.0,
,98007,98042.0,
,98008,,
,98133,,
,98136,,
,98146,,
,98148,,
,98155,,
,98032,,
,98033,,
,98034,,
,98166,,
,98039,,
,98168,,
