High,Medium,Low,Min
98144.0,98007.0,98052,98177.0
98146.0,98039.0,98053,98178.0
98148.0,98004.0,98055,98019.0
98188.0,98005.0,98056,98022.0
98133.0,98006.0,98058,98023.0
98102.0,98199.0,98059,98024.0
98103.0,98008.0,98065,98045.0
98072.0,98107.0,98074,98070.0
98105.0,,98075,98198.0
98106.0,,98092,98010.0
98108.0,,98112,98077.0
98109.0,,98115,98014.0
,,98116,
,,98117,
,,98118,
,,98119,
,,98122,
,,98125,
,,98126,
,,98040,
,,98001,
,,98002,
,,98003,
,,98136,
,,98011,
,,98027,
,,98028,
,,98029,
,,98030,
,,98031,
,,98032,
,,98033,
,,98034,
,,98038,
,,98166,
,,98168,
,,98042,
